RANK,ENG,FRA,SPA
2165,suspect,suspect,sospechoso
2175,existing,existant,existente
2185,potential,potentiel,potencial
2195,asset,actif,activo
2205,breathe,respirer,respirar
2215,literally,littéralement,literalmente
2225,disaster,désastre,desastre
2235,silence,silence,silencio
2245,angel,ange,ángel
2255,date,date,cita
2265,whole,entier,todo
2275,fat,gras,gordo
2285,whenever,chaque fois,siempre que
2295,benefit,avantage,beneficio
2305,touch,toucher,toque
2315,column,colonne,columna
2325,unable,incapable,incapaz
2335,symptom,symptôme,síntoma
2345,philosophy,philosophie,filosofía
2355,spiritual,spirituel,espiritual
2365,round,rond,redondo
2375,watch,surveiller,ver
2385,layer,couche,capa
2395,vice,vice,vicio
2405,passenger,passager,pasajero
2415,emphasize,souligner,enfatizar
2425,habit,habitude,hábito
2435,surely,sûrement,seguramente
2445,interview,entretien,entrevista
2455,match,correspondre,coincidir
2465,reduction,réduction,reducción
2475,teaspoon,cuillère à café,cucharilla
2485,employment,emploi,empleo
2495,abandon,abandonner,abandonar
2505,trade,commerce,comercio
2515,black,noir,negro
2525,leading,leader,líder
2535,festival,festival,festival
2545,strongly,fortement,fuertemente
2555,doubt,doute,duda
2565,submit,soumettre,presentar
2575,origin,origine,origen
2585,innocent,innocent,inocente
2595,strike,frapper,huelga
2605,light,lumière,luz
2615,bend,plier,doblar
2625,peak,pic,pico
2635,dust,poussière,polvo
2645,juice,jus,zumo
2655,mess,désordre,lío
2665,graduate,diplômé,graduarse
2675,carbon,carbone,carbono
2685,toss,remuer,tirar
2695,navy,marine,marina
2705,desert,désert,desierto
2715,pack,pack,paquete
2725,clock,horloge,reloj
2735,wolf,loup,lobo
2745,narrative,narratif,narrativa
2755,rep,réplique,rep
2765,besides,en plus,además de
2775,testing,test,pruebas
2785,hmm,hmm,hmm
2795,rose,rose,rosa
2805,nowhere,nulle part,en ninguna parte
2815,crucial,crucial,crucial
2825,constitutional,constitutionnel,constitucional
2835,crop,culture,cultivo
2845,historic,historique,histórico
2855,emphasis,accent,énfasis
2865,champion,champion,campeón
2875,access,accès,acceso
2885,react,réagir,reaccionar
2895,sheriff,shérif,alguacil
2905,interpret,interpréter,interpretar
2915,framework,cadre,framework
2925,free,libre,gratis
2935,neither,ni,ni
2945,substantial,substantiel,sustancial
2955,biological,biologique,biológico
2965,encounter,rencontre,encuentro
2975,preparation,préparation,preparación
2985,fighter,combattant,combatiente
2995,wisdom,sagesse,sabiduría
3005,since,depuis,desde
3015,tube,tube,tubo
3025,creek,ruisseau,arroyo
3035,fraud,fraude,fraude
3045,flat,plat,plano
3055,islam,islam,islam
3065,plus,plus,más
3075,bye,par,adiós
3085,rapidly,rapidement,rápidamente
3095,asleep,endormi,dormido
3105,guideline,ligne directrice,directriz
3115,tournament,tournoi,torneo
3125,risk,risque,riesgo
3135,beat,battre,vencer
3145,observer,observateur,observador
3155,loose,lâche,suelto
3165,specialist,spécialiste,especialista
3175,flow,flux,flujo
3185,consumption,consommation,consumo
3195,bake,cuire,hornear
3205,correct,correct,correcto
3215,ooh,ooh,ooh
3225,horror,horreur,horror
3235,bless,bénir,bendice
3245,preference,préférence,preferencia
3255,cooperation,coopération,cooperación
3265,paint,peinture,pintura
3275,assignment,affectation,encargo
3285,blue,bleu,azul
3295,latin,latin,latino
3305,privilege,privilège,privilegio
3315,stress,stress,estrés
3325,wish,souhait,deseo
3335,painful,douloureux,doloroso
3345,physically,physiquement,físicamente
3355,successfully,avec succès,con éxito
3365,happiness,bonheur,felicidad
3375,explosion,explosion,explosión
3385,shelf,étagère,estante
3395,oven,four,horno
3405,document,document,documento
3415,cheat,tricher,trampa
3425,regulate,réguler,regular
3435,bishop,évêque,obispo
3445,eagle,aigle,águila
3455,manufacturing,fabrication,fabricación
3465,irish,irlandais,irlandés
3475,explode,exploser,explotar
3485,sandwich,sandwich,sándwich
3495,bias,biais,bias
3505,mutual,mutuel,mutuo
3515,guitar,guitare,guitarra
3525,particle,particule,partícula
3535,leather,cuir,cuero
3545,dump,décharge,vertedero
3555,homeless,sans-abri,sin techo
3565,horizon,horizon,horizonte
3575,beast,bête,bestia
3585,workshop,atelier,taller
3595,touchdown,toucher,touchdown
3605,motivate,motiver,motivar
3615,ounce,once,onza
3625,undergo,subir,sufrir
3635,enforce,appliquer,aplicar
3645,adoption,adoption,adopción
3655,mount,monter,montar
3665,bug,insecte,error
3675,demonstration,démonstration,demostración
3685,lemon,citron,limón
3695,melt,fondre,derretir
3705,cabin,cabine,cabina
3715,mess,gâchis,lío
3725,donation,don,donación
3735,maximum,maximum,máximo
3745,oak,chêne,roble
3755,marijuana,marijuana,marihuana
3765,conspiracy,conspiration,conspiración
3775,associate,associé,asociado
3785,mount,mont,monte
3795,starter,débutant,arranque
3805,intensity,intensité,intensidad
3815,essence,essence,esencia
3825,ownership,propriété,propiedad
3835,conduct,conduite,conducta
3845,unexpected,inattendu,inesperado
3855,ship,navire,barco
3865,stimulus,stimulus,estímulo
3875,correctly,correctement,correctamente
3885,divine,divin,divino
3895,short,court,corto
3905,devote,consacrer,dedicar
3915,endure,endurer,soportar
3925,lyrics,paroles,letra
3935,genuine,authentique,genuino
3945,rhetoric,rhétorique,retórica
3955,jeans,jeans,vaqueros
3965,ranch,ranch,rancho
3975,pitcher,lanceur,lanzador
3985,behavioral,comportemental,comportamiento
3995,bombing,bombardement,bombardeo
4005,ruling,décision,gobernante
4015,guard,gardien,guardia
4025,talented,talentueux,talentoso
4035,accessible,accessible,accesible
4045,doll,poupée,muñeca
4055,program,programme,programa
4065,administer,administrer,administrar
4075,follower,suiveur,seguidor
4085,pump,pompe,bomba
4095,asshole,trou du cul,culo
4105,tumor,tumeur,tumor
4115,surveillance,surveillance,vigilancia
4125,insect,insecte,insecto
4135,structural,structurel,estructural
4145,greet,saluer,saludar
4155,parameter,paramètre,parámetro
4165,crawl,ramper,arrastrarse
4175,conscious,conscient,consciente
4185,processing,traitement,procesamiento
4195,affiliation,affiliation,afiliación
4205,worry,inquiétude,preocupación
4215,supervisor,superviseur,supervisor
4225,immune,immunité,inmune
4235,specify,spécifier,especificar
4245,rent,louer,alquilar
4255,treasure,trésor,tesoro
4265,secure,sécuriser,seguro
4275,forty,quarante,cuarenta
4285,joke,plaisanterie,broma
4295,outfit,tenue,equipo
4305,fool,fou,tonto
4315,hidden,caché,oculto
4325,suspicion,soupçon,sospecha
4335,seal,sceau,foca
4345,reception,réception,recepción
4355,drift,dérive,deriva
4365,backup,sauvegarde,respaldo
4375,execution,exécution,ejecución
4385,relieve,soulager,aliviar
4395,pad,tampon,acolchado
4405,amid,au milieu,entre
4415,accent,accent,acento
4425,momentum,élan,impulso
4435,creativity,créativité,creatividad
4445,reportedly,apparemment,supuestamente
4455,full-time,à temps plein,a tiempo completo
4465,subsidy,subvention,subvención
4475,supposedly,soi-disant,supuestamente
4485,android,androïde,android
4495,ecosystem,écosystème,ecosistema
4505,sock,chaussette,calcetín
4515,tragic,tragique,trágico
4525,cooperate,coopérer,cooperar
4535,gorgeous,magnifique,precioso
4545,freak,monstre,monstruo
4555,instructional,instructif,instructivo
4565,authorize,autoriser,autorizar
4575,opt,opter,optar
4585,interfere,interférer,interferir
4595,racist,raciste,racista
4605,marine,marin,marino
4615,sadly,tristement,tristemente
4625,protective,protecteur,protector
4635,minimal,minimal,mínimo
4645,drill,forer,perforar
4655,classify,classer,clasificar
4665,discount,réduction,descuento
4675,retailer,détaillant,minorista
4685,chemistry,chimie,química
4695,drown,noyer,ahogar
4705,sail,naviguer,navegar
4715,diary,journal,diario
4725,cruel,cruel,cruel
4735,o'clock,heure,hora
4745,hormone,hormone,hormona
4755,mixed,mixte,mezclado
4765,pin,épingle,pin
4775,shallow,superficiel,superficial
4785,exchange,échange,intercambio
4795,loving,amoureux,cariñoso
4805,defender,défenseur,defensor
4815,eleven,onze,once
4825,ideological,idéologique,ideológico
4835,eternal,éternel,eterno
4845,uncover,découvrir,descubrir
4855,verify,vérifier,verificar
4865,proceedings,procédure,procedimiento
4875,soda,soda,soda
4885,happily,heureux,felizmente
4895,ideal,idéal,ideal
4905,syrian,syrien,sirio
4915,cord,cordon,cuerda
4925,campaign,campagne,campaña
4935,junk,camelote,chatarra
4945,sphere,sphère,esfera
4955,extract,extrait,extraer
4965,breeze,brise,brisa
4975,attendance,présence,asistencia
4985,petition,pétition,petición
4995,reluctant,réticent,reticente
5005,upgrade,améliorer,mejorar
5015,shrink,rétrécir,encoger
5025,yield,rendement,rendimiento
5035,stunning,étourdissant,impresionante
5045,hammer,marteau,martillar
5055,stereotype,stéréotype,estereotipo
5065,light,léger,ligero
5075,unnecessary,inutile,innecesario
5085,suitable,convenable,adecuado
5095,vertical,vertical,vertical
5105,purely,purement,puramente
5115,torture,torture,torturar
5125,prosecute,poursuivre,procesar
5135,low,bas,bajo
5145,screen,écran,pantalla
5155,unto,jusqu'à,a
5165,shareholder,actionnaire,accionista
5175,per,par,por
5185,blink,clignoter,parpadear
5195,spin,tourner,giro
5205,completion,achèvement,finalización
5215,elected,élu,elegido
5225,variance,variance,desviación
5235,refrigerator,réfrigérateur,frigorífico
5245,greenhouse,serre,invernadero
5255,widow,veuve,viuda
5265,correspond,correspondre,corresponder
5275,inn,auberge,posada
5285,homeowner,propriétaire,propietario
5295,reactor,réacteur,reactor
5305,modification,modification,modificación
5315,infect,infecter,infectar
5325,smoking,fumer,fumar
5335,selected,sélectionné,seleccionado
5345,warehouse,entrepôt,almacén
5355,provoke,provoquer,provocar
5365,alert,alerter,alertar
5375,notable,notable,notable
5385,polite,poli,cortés
5395,spine,épine dorsale,columna vertebral
5405,scar,cicatrice,cicatriz
5415,whatsoever,en général,whatsoever
5425,sweetie,chéri(e),cariño
5435,prevail,prévaloir,prevalecer
5445,positively,positivement,positivamente
5455,uphold,maintenir,mantener
5465,paradigm,paradigme,paradigma
5475,leak,fuite,filtrar
5485,matrix,matrice,matriz
5495,reason,raison,razón
5505,supplement,supplément,suplemento
5515,board,conseil,tablero
5525,affection,affection,afecto
5535,endorsement,soutien,respaldo
5545,seeing,voir,ver
5555,harvest,récolte,cosecha
5565,managing,gestion,gestionar
5575,neglect,négligence,negligencia
5585,atheist,athée,ateo
5595,spider,araignée,araña
5605,fulfil,remplir,cumplir
5615,sovereignty,souveraineté,soberanía
5625,straighten,redresser,enderezar
5635,summarize,résumer,resumir
5645,foster,favoriser,fomentar
5655,diplomat,diplomate,diplomático
5665,experiment,expérimenter,experimentar
5675,maximize,maximiser,maximizar
5685,self-esteem,estime de soi,autoestima
5695,ink,encre,tinta
5705,fog,brouillard,niebla
5715,ribbon,ruban,cinta
5725,humble,humble,humilde
5735,neighboring,voisin,vecino
5745,outrage,outrage,indignación
5755,mutter,murmure,murmurar
5765,distinctive,distinctif,distintivo
5775,slim,mince,delgado
5785,caution,prudence,precaución
5795,governance,gouvernance,gobernanza
5805,tease,taquiner,burlarse
5815,presume,présumer,presumir
5825,inadequate,inadéquat,inadecuado
5835,unemployed,chômeur,desempleado
5845,grind,moudre,moler
5855,pledge,gage,prometer
5865,surgical,chirurgical,quirúrgico
5875,concession,concession,concesión
5885,troubled,troublé,problemático
5895,inject,injecter,inyectar
5905,spray,pulvériser,pulverizar
5915,forge,forger,forjar
5925,tilt,incliner,inclinar
5935,ant,fourmi,hormiga
5945,registered,enregistré,registrado
5955,endeavor,effort,esfuerzo
5965,robe,robe,albornoz
5975,attachment,attachement,accesorio
5985,physicist,physicien,físico
5995,precision,précision,precisión
6005,sophomore,sophomore,segundo año
6015,part-time,temps partiel,a tiempo parcial
6025,devise,concevoir,idear
6035,psychiatrist,psychiatre,psiquiatra
6045,stroke,accident vasculaire cérébral,ictus
6055,prop,accessoire,atrezzo
6065,fried,grillé,frito
6075,warrant,mandat,orden
6085,rehearsal,répétition,ensayo
6095,thorough,minutieux,minucioso
6105,biologist,biologiste,biólogo
6115,boxing,boxe,boxeo
6125,gum,gomme,chicle
6135,fracture,fracture,fractura
6145,accidentally,accidentellement,accidentalmente
6155,underwear,sous-vêtements,ropa interior
6165,roar,rugir,rugido
6175,cube,cube,cubo
6185,greed,cupidité,codicia
6195,affiliate,affilié,afiliado
6205,idol,idole,ídolo
6215,bark,aboyer,ladrar
6225,circulate,circuler,circular
6235,replicate,répliquer,replicar
6245,toddler,bambin,niño
6255,unaware,inconscient,inconsciente
6265,wildly,sauvagement,salvajemente
6275,applicable,applicable,aplicable
6285,dislike,pas aimer,no me gusta
6295,diner,diner,restaurante
6305,astronaut,astronaute,astronauta
6315,outrageous,scandaleux,escandaloso
6325,strand,chaîne de montagnes,hilo
6335,pace,rythme,paso
6345,asteroid,astéroïde,asteroide
6355,questionable,douteux,cuestionable
6365,straightforward,direct,directo
6375,hilarious,hilarant,hilarante
6385,gaming,jeu,juego
6395,trajectory,trajectoire,trayectoria
6405,whoo,quio,whoo
6415,varying,variable,variando
6425,swiss,suisse,suizo
6435,tribune,tribune,tribuna
6445,caucus,caucus,caucus
6455,nickname,surnom,apodo
6465,beating,battant,vencer
6475,linebacker,linebacker,apoyador
6485,upgrade,mise à niveau,mejora
6495,defect,défaut,defecto
6505,interestingly,intéressant,interesante
6515,salesman,vendeur,vendedor
6525,homemade,fait maison,casero
6535,reviewer,évaluateur,revisor
6545,mattress,matelas,colchón
6555,sorrow,chagrin,pena
6565,prepared,préparé,preparado
6575,amen,amen,amén
6585,dial,cadran,marque
6595,offset,décalage,offset
6605,entail,entraîner,conllevar
6615,credential,créance,credencial
6625,nineteenth,dix-neuvième,decimonoveno
6635,lethal,létal,letal
6645,selective,sélectif,selectivo
6655,evacuate,évacuer,evacuar
6665,battlefield,champ de bataille,campo de batalla
6675,balcony,balcon,balcón
6685,settler,colon,colono
6695,fertility,fertilité,fertilidad
6705,dub,dub,dub
6715,critically,critique,críticamente
6725,hurry,hâte,prisa
6735,sequel,suite,secuela
6745,clip,clip,clip
6755,dear,cher,querido
6765,strap,sangle,correa
6775,sperm,sperme,esperma
6785,endangered,en danger,en peligro
6795,timely,opportun,oportuno
6805,bond,lien,vínculo
6815,sustained,soutenu,sostenido
6825,bailout,renflouer,rescate
6835,pardon,pardon,perdón
6845,drip,goutte à goutte,goteo
6855,foremost,avant tout,principal
6865,hazardous,dangereux,peligroso
6875,adequately,adéquatement,adecuadamente
6885,exert,exercer,ejercer
6895,radical,radical,radical
6905,tackle,s'attaquer,abordar
6915,altitude,altitude,altitud
6925,hammer,marteau,martillo
6935,tier,palier,nivel
6945,strategist,stratège,estratega
6955,mist,brouillard,niebla
6965,reopen,rouvrir,reabrir
6975,gravel,gravier,grava
6985,seventeen,dix-sept,diecisiete
6995,stride,enjamber,zancada
7005,loosen,desserrer,aflojar
7015,maturity,maturité,madurez
7025,draw,dessiner,dibujar
7035,hacker,pirate,hacker
7045,phone,téléphone,teléfono
7055,rigorous,rigoureux,riguroso
7065,dwell,habiter,morar
7075,swamp,marécage,pantano
7085,chant,chanter,cantar
7095,cuff,s'en tenir à l'essentiel,manguito
7105,exaggerate,exagérer,exagerar
7115,oblige,obliger,obligar
7125,thug,s'acharner,matón
7135,adore,adorer,adorar
7145,intimidate,intimider,intimidar
7155,re-create,recréer,recrear
7165,smoothly,en douceur,suavemente
7175,unpredictable,imprévisible,imprevisible
7185,extinction,extinction,extinción
7195,dire,terrible,nefasto
7205,turning,tournant,girar
7215,embark,embarquer,embarcar
7225,co-founder,cofondateur,cofundador
7235,lousy,minable,pésimo
7245,smoker,fumeur,fumador
7255,worthless,sans valeur,inútil
7265,recruit,recruter,reclutar
7275,singing,chant,cantando
7285,congratulations,félicitations,enhorabuena
7295,clove,girofle,clavo
7305,tactical,tactique,táctico
7315,undercover,infiltration,encubierto
7325,exploitation,exploitation,explotación
7335,scam,escroquerie,estafa
7345,water,eau,agua
7355,ie,ie,es decir
7365,jeep,jeep,jeep
7375,dispose,disposer,disponer
7385,strangely,étrangement,extrañamente
7395,fearful,craintif,temeroso
7405,pharmacy,pharmacie,farmacia
7415,pancake,crêpe,panqueque
7425,greedy,gourmand,codicioso
7435,prevalent,prévalent,frecuente
7445,leisure,loisir,ocio
7455,surge,élan,oleada
7465,blunt,émoussé,romo
7475,insulin,insuline,insulina
7485,shepherd,berger,pastor
7495,unusually,exceptionnellement,inusual
7505,contamination,contamination,contaminación
7515,mainland,continent,continente
7525,pasture,pâturage,pasto
7535,pastry,pâtisserie,pastelería
7545,condo,condo,condominio
7555,inclusive,inclusif,inclusivo
7565,saddle,selle,silla
7575,internationally,international,internacionalmente
7585,rig,gréement,plataforma
7595,formidable,formidable,formidable
7605,upward,vers le haut,hacia arriba
7615,auburn,auburn,castaño rojizo
7625,governing,gouvernant,gobernar
7635,interest,intérêt,interés
7645,harmless,inoffensif,inofensivo
7655,remotely,à distance,a distancia
7665,jelly,gelée,gelatina
7675,recall,rappeler,retirada
7685,peak,pic,pico
7695,prose,prose,prosa
7705,unconstitutional,inconstitutionnel,inconstitucional
7715,reflective,réfléchi,reflexivo
7725,squash,courge,squash
7735,billboard,panneau d'affichage,valla publicitaria
7745,shrine,sanctuaire,santuario
7755,classified,classé,clasificado
7765,screw,vis,tornillo
7775,infantry,infanterie,infantería
7785,cardiovascular,cardiovasculaire,cardiovascular
7795,saw,scie,sierra
7805,bearing,support,rodamiento
7815,territorial,territorial,territorial
7825,withstand,résister,soportar
7835,sucker,ventouse,ventosa
7845,muddy,boueux,fangoso
7855,sewer,égout,alcantarilla
7865,coward,lâche,cobarde
7875,bracket,support,soporte
7885,serum,sérum,suero
7895,working,travail,trabajando
7905,ambiguous,ambiguë,ambiguo
7915,prevailing,dominant,prevaleciendo
7925,underneath,en dessous,debajo
7935,pest,parasite,plaga
7945,demographics,démographie,demografía
7955,outraged,indigné,indignado
7965,dive,plonger,inmersión
7975,yogurt,yaourt,yogur
7985,split,diviser,dividir
7995,ethanol,éthanol,etanol
8005,trans,trans,trans
8015,shower,douche,ducha
8025,theologian,théologien,teólogo
8035,perpetrator,auteur,autor
8045,pull,tirer,tirar
8055,interviewer,interviewer,entrevistador
8065,structure,structure,estructura
8075,bowling,bowling,bolera
8085,bureaucrat,bureaucrate,burócrata
8095,almond,amande,almendra
8105,floating,flottant,flotante
8115,pact,pacte,pacto
8125,flyer,flyer,volante
8135,premier,premier,premier
8145,spike,épi,espiga
8155,beetle,scarabée,escarabajo
8165,convicted,condamné,condenado
8175,brink,brink,brink
8185,scottish,écossais,escocés
8195,swim,nager,nadar
8205,initial,initial,inicial
8215,bakery,boulangerie,panadería
8225,prolonged,prolongé,prolongado
8235,erode,éroder,erosionar
8245,liable,responsable,responsable
8255,fry,friture,freír
8265,strait,droit,estrecho
8275,detainee,détenu,detenido
8285,cram,bachoter,cram
8295,redefine,redéfinir,redefinir
8305,brochure,brochure,folleto
8315,dependency,dépendance,dependencia
8325,shorten,raccourcir,acortar
8335,paralyze,paralyser,paralizar
8345,acting,agir,actuar
8355,binding,liant,vinculante
8365,irrigation,irrigation,riego
8375,cruelty,cruauté,crueldad
8385,sideways,latéral,de lado
8395,informative,informatif,informativo
8405,grenade,grenade,granada
8415,refined,raffiné,refinado
8425,ritual,rituel,ritual
8435,hostess,hôtesse,azafata
8445,glowing,lumineux,resplandeciente
8455,furnish,meubler,amueblar
8465,causal,causal,causal
8475,needless,inutile,innecesario
8485,casting,moulage,casting
8495,reel,bobine,carrete
8505,wig,perruque,peluca
8515,pe,pe,pe
8525,buzz,buzz,zumbido
8535,focal,focal,focal
8545,unhealthy,malsain,malsano
8555,buffer,tampon,tampón
8565,mold,moule,moho
8575,answering,répondre,respuesta
8585,cough,toux,tos
8595,statutory,statutaire,estatutario
8605,anecdote,anecdote,anécdota
8615,specially,spécialement,especialmente
8625,shrub,arbuste,arbusto
8635,zoom,zoom,zoom
8645,reconstruct,reconstituer,reconstruir
8655,questioning,questionnement,cuestionar
8665,cheerful,joyeux,alegre
8675,temp,temporaire,temporal
8685,solicit,solliciter,solicitar
8695,agony,agonie,agonía
8705,intended,voulu,previsto
8715,prosperous,prospère,próspero
8725,splash,éclaboussure,salpicar
8735,unsuccessful,infructueux,infructuoso
8745,lineage,lignée,linaje
8755,crow,corbeau,cuervo
8765,cache,cache,alijo
8775,curb,trottoir,bordillo
8785,decree,décret,decreto
8795,succumb,succomber,sucumbir
8805,accessibility,accessibilité,accesibilidad
8815,marsh,marais,pantano
8825,born,né,nacido
8835,suicidal,suicidaire,suicida
8845,unify,unifier,unificar
8855,fingernail,ongle,uña
8865,visualize,visualiser,visualizar
8875,nonexistent,inexistant,inexistente
8885,novice,novice,novato
8895,fallout,tomber,fallout
8905,outweigh,l'emporter,superar
8915,tweak,modifier,retocar
8925,veggie,végétal,vegetariano
8935,loft,loft,altillo
8945,downward,en bas,hacia abajo
8955,broccoli,brocoli,brócoli
8965,lighter,plus léger,encendedor
8975,retaliation,représailles,represalia
8985,lag,décalage,retraso
8995,checkpoint,point de contrôle,punto de control
9005,suffice,suffisant,basta
9015,console,console,consola
9025,protestant,protestant,protestante
9035,creed,croyance,credo
9045,inflammatory,inflammatoire,incendiario
9055,farewell,adieu,adiós
9065,sexist,sexiste,sexista
9075,humidity,humidité,humedad
9085,boiling,bouillant,hirviendo
9095,present,présent,presente
9105,spill,déversement,derrame
9115,chrome,chrome,cromo
9125,linkage,liaison,enlace
9135,blizzard,blizzard,ventisca
9145,pinpoint,point d'épingle,pinpoint
9155,fashionable,à la mode,de moda
9165,paperback,livre de poche,rústica
9175,brighten,éclaircir,brighten
9185,relic,relique,reliquia
9195,ornament,ornement,ornamento
9205,facet,facette,faceta
9215,nervously,nerveusement,nerviosamente
9225,graceful,gracieux,elegante
9235,listening,à l'écoute,escuchando
9245,collective,collectif,colectivo
9255,mantra,mantra,mantra
9265,exceptionally,exceptionnellement,excepcionalmente
9275,strangle,étrangler,estrangular
9285,his/her,son,su
9295,grouping,regroupement,agrupación
9305,envy,envier,envidia
9315,headlight,phare,faro
9325,methodist,méthodiste,metodista
9335,tutor,tuteur,tutor
9345,germ,germe,germen
9355,wonderfully,merveilleusement,maravillosamente
9365,chalk,craie,tiza
9375,geological,géologique,geológico
9385,fulfillment,accomplissement,cumplimiento
9395,yeast,levure,levadura
9405,mailbox,boîte aux lettres,buzón
